AppID,Permissions required
1,1
1,2
1,3
1,7
1,10
2,1
2,2
2,3
2,4
2,7
2,10
3,1
3,2
3,3
3,5
3,7
3,8
3,10
4,1
4,2
4,3
4,4
4,7
4,8
4,9
4,10
5,1
5,2
5,3
5,4
5,7
5,8
6,1
6,2
7,3
7,4
8,3
8,4
9,5
9,6
10,10
11,10
12,10
13,1
13,2
13,10
14,10
15,11
15,12
16,11
16,12
17,11
17,12
18,11
18,12
19,11
19,12
20,13
20,14
21,13
21,14
22,13
22,14
23,13
24,13
24,14
25,13
25,14
26,15
27,15
27,16
28,16
29,15
29,16
30,15
30,16
31,15
31,16
32,18
33,18
34,19
35,19
36,19
37,18
38,17
38,19
39,17
40,17
41,17
42,20
43,20
44,20
45,21
46,21
46,22
47,23
47,24
48,23
48,24
49,23
49,24
